theme_a,theme_b,count,normalized_rate
EMPLOYMENT_DISRUPTION,SCHEDULING_CONSTRAINTS,334,0.167
AFFORDABILITY,FOOD_INSECURITY,282,0.141
CHILDCARE_ACCESS,EMPLOYMENT_DISRUPTION,224,0.112
AFFORDABILITY,SCHEDULING_CONSTRAINTS,220,0.11
AFFORDABILITY,EMPLOYMENT_DISRUPTION,215,0.1075
EMPLOYMENT_DISRUPTION,STRESS_BURNOUT,212,0.106
SCHEDULING_CONSTRAINTS,STRESS_BURNOUT,203,0.1015
FOOD_INSECURITY,SCHEDULING_CONSTRAINTS,154,0.077
EMPLOYMENT_DISRUPTION,FOOD_INSECURITY,149,0.0745
CHILDCARE_ACCESS,SCHEDULING_CONSTRAINTS,140,0.07
AFFORDABILITY,STRESS_BURNOUT,132,0.066
AFFORDABILITY,CHILDCARE_ACCESS,110,0.055
FOOD_INSECURITY,STRESS_BURNOUT,95,0.0475
CHILDCARE_ACCESS,STRESS_BURNOUT,85,0.0425
CHILDCARE_ACCESS,FOOD_INSECURITY,84,0.042
PROVIDER_STAFF_SHORTAGE,SCHEDULING_CONSTRAINTS,28,0.014
AFFORDABILITY,PROVIDER_STAFF_SHORTAGE,25,0.0125
PROVIDER_STAFF_SHORTAGE,STRESS_BURNOUT,22,0.011
EMPLOYMENT_DISRUPTION,PROVIDER_STAFF_SHORTAGE,20,0.01
FOOD_INSECURITY,PROVIDER_STAFF_SHORTAGE,20,0.01
CHILDCARE_ACCESS,PROVIDER_STAFF_SHORTAGE,11,0.0055
